customer_id,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2,amount,booking_id,room_nights_with_status_2
13359,,,,1888.0,1.0,1 days 00:00:00.000000000,,,
13378,5554.0,3.0,1 days 00:00:00.000000000,5029.0,2.0,1 days 00:00:00.000000000,,,
13380,,,,1976.0,1.0,0 days 00:00:00.000000000,,,
13402,6562.0,1.0,2 days 00:00:00.000000000,,,,,,
13601,3054.0,1.0,1 days 00:00:00.000000000,,,,,,
13605,,,,2204.0,1.0,1 days 00:00:00.000000000,,,
13678,,,,6564.0,1.0,1 days 00:00:00.000000000,,,
13793,2339.0,1.0,1 days 00:00:00.000000000,,,,,,
13794,4874.0,1.0,0 days 00:00:00.000000000,,,,,,
13846,,,,,,,2729.0,1.0,0 days 00:00:00.000000000
13951,8575.0,3.0,4 days 00:00:00.000000000,3442.0,1.0,0 days 00:00:00.000000000,4481.0,2.0,1 days 00:00:00.000000000
13959,8637.0,1.0,4 days 00:00:00.000000000,,,,2192.0,1.0,1 days 00:00:00.000000000
13982,,,,,,,2664.0,1.0,0 days 00:00:00.000000000
14120,2274.0,1.0,1 days 00:00:00.000000000,,,,,,
14499,59254.0,1.0,0 days 00:00:00.000000000,1429.0,1.0,1 days 00:00:00.000000000,,,
14557,,,,22610.0,3.0,3 days 00:00:00.000000000,,,
14601,6042.0,3.0,2 days 00:00:00.000000000,,,,4743.0,2.0,1 days 00:00:00.000000000
14623,2726.0,1.0,0 days 00:00:00.000000000,,,,,,
14674,,,,2508.0,1.0,0 days 00:00:00.000000000,,,
14687,1819.0,1.0,1 days 00:00:00.000000000,,,,,,
14708,,,,4807.0,1.0,2 days 00:00:00.000000000,,,
14742,6044.0,1.0,1 days 00:00:00.000000000,,,,,,
14755,1429.0,1.0,1 days 00:00:00.000000000,,,,,,
14778,11307.0,1.0,0 days 00:00:00.000000000,7406.0,1.0,0 days 00:00:00.000000000,,,
14874,,,,12735.0,1.0,4 days 00:00:00.000000000,,,
14876,,,,,,,2590.0,1.0,2 days 00:00:00.000000000
14942,,,,,,,10395.0,1.0,0 days 00:00:00.000000000
15037,1884.0,1.0,0 days 00:00:00.000000000,,,,,,
15169,,,,,,,25172.0,4.0,0 days 00:00:00.000000000
15300,3119.0,1.0,0 days 00:00:00.000000000,,,,,,
15445,9488.0,2.0,0 days 00:00:00.000000000,,,,6238.0,2.0,2 days 00:00:00.000000000
15447,,,,5192.0,3.0,3 days 00:00:00.000000000,6169.0,2.0,3 days 00:00:00.000000000
15533,3901.0,1.0,1 days 00:00:00.000000000,,,,,,
15573,,,,2404.0,1.0,0 days 00:00:00.000000000,,,
15620,,,,1949.0,1.0,1 days 00:00:00.000000000,,,
15656,10267.0,1.0,0 days 00:00:00.000000000,,,,,,
15767,3574.0,1.0,1 days 00:00:00.000000000,,,,,,
15775,2209.0,1.0,1 days 00:00:00.000000000,,,,,,
15841,,,,,,,3767.0,1.0,2 days 00:00:00.000000000
15900,5240.0,3.0,2 days 00:00:00.000000000,2209.0,1.0,1 days 00:00:00.000000000,,,
15976,,,,,,,2460.0,1.0,0 days 00:00:00.000000000
16015,1457.0,1.0,1 days 00:00:00.000000000,,,,,,
16173,1494.0,1.0,0 days 00:00:00.000000000,,,,,,
16238,,,,,,,5197.0,1.0,2 days 00:00:00.000000000
16277,27937.0,1.0,0 days 00:00:00.000000000,,,,,,
16287,2192.0,1.0,1 days 00:00:00.000000000,,,,,,
16292,2404.0,1.0,1 days 00:00:00.000000000,,,,,,
16566,6755.0,1.0,0 days 00:00:00.000000000,,,,,,
16603,,,,3314.0,1.0,0 days 00:00:00.000000000,,,
16744,2339.0,1.0,1 days 00:00:00.000000000,,,,,,
16808,7794.0,2.0,2 days 00:00:00.000000000,,,,,,
16812,,,,1392.0,1.0,0 days 00:00:00.000000000,,,
16954,,,,6513.0,1.0,3 days 00:00:00.000000000,,,
16959,,,,2144.0,1.0,1 days 00:00:00.000000000,,,
17049,,,,,,,2924.0,1.0,0 days 00:00:00.000000000
17092,,,,2144.0,1.0,1 days 00:00:00.000000000,,,
17106,,,,2079.0,1.0,1 days 00:00:00.000000000,,,
17344,4352.0,1.0,2 days 00:00:00.000000000,,,,,,
17641,1884.0,1.0,1 days 00:00:00.000000000,,,,,,
17715,,,,,,,3120.0,1.0,1 days 00:00:00.000000000
